season_end,player,age,gp,toi,teams
2013,Martin St. Louis,37.0,48.0,17:35:12,TBL
2013,Steven Stamkos,22.0,48.0,17:37:06,TBL
2013,Sidney Crosby,25.0,36.0,12:39:45,PIT
2013,Alex Ovechkin,27.0,48.0,16:42:27,WSH
2013,Patrick Kane,24.0,47.0,15:42:38,CHI
2013,Eric Staal,28.0,48.0,16:47:48,CAR
2013,Phil Kessel,25.0,48.0,15:50:53,TOR
2013,Chris Kunitz,33.0,48.0,14:25:04,PIT
2013,Taylor Hall,21.0,45.0,13:57:55,EDM
2013,Pavel Datsyuk,34.0,47.0,15:48:31,DET
2013,Ryan Getzlaf,27.0,44.0,14:48:31,ANA
2013,Mike Ribeiro,32.0,48.0,14:16:00,WSH
2013,Nicklas Bäckström,25.0,48.0,15:55:14,WSH
2013,Claude Giroux,25.0,48.0,16:56:14,PHI
2013,Jonathan Toews,24.0,47.0,15:09:05,CHI
2013,Henrik Zetterberg,32.0,46.0,15:44:03,DET
2013,John Tavares,22.0,48.0,16:37:11,NYI
2013,Andrew Ladd,27.0,48.0,15:44:40,WPG
2013,Jakub Voráček,23.0,48.0,13:47:24,PHI
2013,Henrik Sedin,32.0,48.0,15:28:41,VAN
2013,Nazem Kadri,22.0,48.0,12:50:30,TOR
2013,Matt Moulson,29.0,47.0,15:00:19,NYI
2013,Alexander Semin,28.0,44.0,15:21:29,CAR
2013,Derek Stepan,22.0,48.0,16:44:17,NYR
2013,Matt Duchene,22.0,47.0,16:23:16,COL
2013,P.A. Parenteau,29.0,48.0,15:19:02,COL
2013,Anže Kopitar,25.0,47.0,16:02:31,LAK
2013,Rick Nash,28.0,44.0,14:38:42,NYR
2013,Thomas Vanek,29.0,38.0,11:39:25,BUF
2013,Blake Wheeler,26.0,48.0,15:02:25,WPG
2013,Daniel Sedin,32.0,47.0,14:54:00,VAN
2013,Joe Thornton,33.0,48.0,14:42:09,SJS
2013,Max Pacioretty,24.0,44.0,12:06:25,MTL
